Source: IP="192.168.1.10", port=23595, Window: 8192 // Destination: IP="192.168.1.20", port=2358, Window: 16384 // Others: 
Source: IP="172.16.0.5", port=1423, Window: 4096 // Destination: IP="172.16.0.15", port=3389, Window: 8192 // Others: 
Source: IP="10.10.10.1", port=6705, Window: 512 // Destination: IP="10.10.10.2", port=4300, Window: 1024 // Others: 
Source: IP="192.168.0.100", port=8080, Window: 32768 // Destination: IP="192.168.0.101", port=2359, Window: 65536 // Others: 
Source: IP="172.31.255.254", port=2392, Window: 2048 // Destination: IP="172.31.255.253", port=3306, Window: 4096 // Others: 
Source: IP="10.0.0.50", port=5392, Window: 16384 // Destination: IP="10.0.0.51", port=8025, Window: 8192 // Others: 
Source: IP="192.168.1.254", port=6932, Window: 256 // Destination: IP="192.168.1.253", port=4020, Window: 512 // Others: 
Source: IP="172.16.0.254", port=3389, Window: 8192 // Destination: IP="172.16.0.253", port=4502, Window: 4096 // Others: 
Source: IP="10.10.10.254", port=9492, Window: 1024 // Destination: IP="10.10.10.253", port=2394, Window: 512 // Others: 
Source: IP="192.168.0.1", port=5020, Window: 65531 // Destination: IP="192.168.0.2", port=8080, Window: 32768 // Others: 
Source: IP="172.31.0.1", port=3306, Window: 4096 // Destination: IP="172.31.0.2", port=4929, Window: 2048 // Others: 
Source: IP="10.0.0.100", port=2003, Window: 8192 // Destination: IP="10.0.0.101", port=2952, Window: 16384 // Others: 
Source: IP="192.168.1.1", port=2910, Window: 512 // Destination: IP="192.168.1.2", port=4952, Window: 256 // Others: 
Source: IP="172.16.0.1", port=2393, Window: 4096 // Destination: IP="172.16.0.2", port=3389, Window: 8192 // Others: 
Source: IP="10.10.10.10", port=1033, Window: 512 // Destination: IP="10.10.10.11", port=2353, Window: 1024 // Others: 
Source: IP="192.168.0.254", port=8080, Window: 32768 // Destination: IP="192.168.0.253", port=3592, Window: 6553 // Others: 
Source: IP="172.31.255.1", port=2323, Window: 2048 // Destination: IP="172.31.255.2", port=3306, Window: 4096 // Others: 
Source: IP="10.0.0.150", port=23051, Window: 16384 // Destination: IP="10.0.0.151", port=4952, Window: 8192 // Others: 
Source: IP="192.168.1.100", port=32942, Window: 256 // Destination: IP="192.168.1.101", port=9423, Window: 512 // Others: 
Source: IP="172.16.0.100", port=3389, Window: 8192 // Destination: IP="172.16.0.101", port=2359, Window: 4096 // Others: 
Source: IP="10.10.10.100", port=9420, Window: 1024 // Destination: IP="10.10.10.101", port=3592, Window: 512 // Others: 
Source: IP="192.168.0.10", port=3932, Window: 65531 // Destination: IP="192.168.0.11", port=8080, Window: 32768 // Others: 
Source: IP="172.31.0.10", port=3306, Window: 4096 // Destination: IP="172.31.0.11", port=2952, Window: 2048 // Others: 
Source: IP="10.0.0.200", port=9233, Window: 8192 // Destination: IP="10.0.0.201", port=2395, Window: 16384 // Others: 
Source: IP="192.168.1.200", port=2935, Window: 512 // Destination: IP="192.168.1.201", port=3592, Window: 256 // Others:
